Links,First discovered
https://kiwix.infinitycommunicationsgateway.net/wikipedia_en_medicine_2017-04/A/QSAR.html,2017-07-03
http://www.wikicityguide.org/wiki/Quantitative_structure-property_relationship,2017-07-01
http://www.muncharoo.com/topic/Quantitative%20structure-activity%20relationship&item_type=topic,2017-07-01
http://www.wow.com/wiki/Quantitative_structure-activity_relationship?s_chn=109,2017-06-29
http://www.wow.com/wiki/Quantitative_structure-activity_relationship,2017-06-29
http://www.nosmut.com/QSPR.html,2017-06-25
http://www.crcnetbase.com/doi/pdfplus/10.1201/b19853-3,2017-06-25
https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%A1%B0-%ED%99%9C%EC%84%B1%EC%9D%98_%EC%A0%95%EB%9F%89%EC%A0%81_%EA%B4%80%EA%B3%84,2017-06-18
https://www.revolvy.com/topic/Quantitative%20structure%E2%80%93activity%20relationship,2017-06-16
https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%A1%B0-%ED%99%9C%EC%84%B1%EC%9D%98_%EC%A0%95%EB%9F%89%EC%A0%81_%EA%B4%80%EA%B3%84(QSAR),2017-06-13
http://www.zirozebar.com/pedia-fa/wiki/%D9%88%D8%A7%D8%A8%D8%B3%D8%AA%DA%AF%DB%8C_%DA%A9%D9%85%DB%8C_%DA%A9%D9%86%D8%B4_%D9%88_%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1?match=en,2017-06-11
https://orcid.org/0000-0001-5399-975X,2017-06-03
http://www.wow.com/wiki/QSPR?s_pt=aolsem&s_chn=224,2017-06-03
http://wikivisually.com/wiki/Quantitative_structure-property_relationship,2017-05-29
http://dbpedia.org/resource/Quantitative_Structure_Property_Relationship,2017-05-29
http://wikivisually.com/wiki/SAR_paradox,2017-05-27
https://uppsala.academia.edu/Departments/Department_of_Cell_and_Molecular_Biology/Documents,2017-05-24
http://www.slideee.com/slide/qsar-and-3d-qsar,2017-05-23
http://www.muncharoo.com/main/index.php?s=Quantitative%20structure-activity%20relationship&item_type=topic&sr=50,2017-05-23
http://orcid.org/0000-0001-5399-975X,2017-05-22
https://www.revolvy.com/main/index.php?s=Quantitative%20structure-activity%20relationship&item_type=topic,2017-05-21
http://wikipedia.zyranker.com/wiki/QSAR,2017-05-20
http://www.wow.com/wiki/Quantitative_structure%E2%80%93activity_relationship,2017-05-19
http://www.revolvy.com/main/index.php?s=Quantitative%20structure-property%20relationship&item_type=topic,2017-05-16
http://wikivisually.com/wiki/Quantitative_structure-activity_relationship,2017-05-16
http://sandpages.com/en/Quantitative_structure%E2%80%93activity_relationship,2017-05-16
http://sandpages.com/en/Quantitative_structure-activity_relationship,2017-05-15
http://sandpages.com/en/QSAR,2017-05-13
http://www.wikiwand.com/sh/Kvantitativni_odnos_strukture_i_aktivnosti,2017-05-11
http://uppsala.academia.edu/FlavioBallante,2017-05-11
http://www.kidney.de/bdom/QSAR.php,2017-05-06
https://www.revolvy.com/topic/Quantitative%20structure-activity%20relationship&item_type=topic,2017-05-03
http://www.orgniz.com/main/index.php?s=Quantitative%20structure%E2%80%93activity%20relationship,2017-05-03
http://padis.uniroma1.it/bitstream/10805/2443/1/Flavio_Ballante_PhD_Thesis.pdf,2017-05-01
http://www.revolvy.com/topic/Quantitative%20structure-activity%20relationship&item_type=topic,2017-04-29
http://www.like2do.com/learn?s=Quantitative_Structure-Activity_Relationship,2017-04-27
http://www.allianceforrisk.com/Workshop/CaseStudies/Bredfeldt-LTD-CaseStudy.pdf,2017-04-23
https://www.revolvy.com/main/index.php?s=Quantitative%20structure%E2%80%93activity%20relationship&item_type=topic,2017-04-20
https://www.revolvy.com/main/index.php?s=Quantitative%20structure%E2%80%93activity%20relationship,2017-04-18
http://broomo2.revolvy.com/topic/QSAR&item_type=topic,2017-04-18
http://foxhold.com:8081/wikipedia_en_medicine_2016-01/A/Quantitative_structure-activity_relationship.html,2017-04-16
http://dctf.uniroma1.it/en/node/6490,2017-04-12
http://www.mashpedia.com/Quantitative_structure%E2%80%93activity_relationship,2017-04-09
http://ww.revolvy.org/topic/QSAR&item_type=topic,2017-04-04
http://demo.wilbanks.info/corsica/v1/viewer?search=QSAR,2017-04-04
http://www.ccl.net/cgi-bin/ccl/message-new?2011+06+18+002,2017-03-31
https://www.revolvy.com/topic/QSAR&item_type=topic,2017-03-25
http://wikivisually.com/wiki/QSPR,2017-03-25
http://www.revolvy.com/topic/QSAR&item_type=topic,2017-03-21
https://www.revolvy.com/topic/Quantitative%20structure%E2%80%93activity%20relationship&item_type=topic,2017-03-19
https://en.wikipediaz.org/wiki/QSAR,2017-03-19
http://www.revolvy.com/topic/Quantitative%20structure%E2%80%93activity%20relationship&item_type=topic,2017-03-18
http://wikivisually.com/wiki/Quantitative_structure%E2%80%93activity_relationship,2017-03-18
http://wikivisually.com/wiki/QSAR_paradox,2017-03-18
http://wikivisually.com/wiki/QSAR,2017-03-18
http://isi-dl.com/download/280660,2017-03-09
